題目,選項A,選項B,選項C,選項D,答案
大躍進期間推行的「深翻土地」農業偽科學政策造成了什麼後果？,大幅提高了糧食產量,破壞了土壤結構，導致農作物大量減產,成功消滅了農業害蟲,帶動農業機械化發展,B
文化大革命期間，北京大學第一張「大字報」由誰張貼，成為運動的導火索之一？,毛澤東本人,江青,聶元梓（北大黨委委員）,林彪,C
中日兩國在「教科書問題」上的核心爭議集中在日本如何描述哪些歷史事件？,日本明治維新時期的殖民政策,日本在中國的侵略戰爭、南京大屠殺及慰安婦制度,日本對中國沿海的貿易限制,甲午戰爭後的賠款問題,B
1989年後，中國官方對文化大革命的歷史定位發生了哪些改變？,承認毛澤東犯有嚴重的歷史罪行,維持「功績是主要的，錯誤是次要的」的基本評價，但限制深入討論,重新評定文化大革命為必要的歷史階段,開放所有相關檔案供學術研究,B
中印1962年戰爭後，尼赫魯的政治生涯遭受了怎樣的影響？,立即辭去總理職務,聲望大受打擊，兩年後去世，有觀點認為戰敗的打擊加速了其死亡,遭到議會彈劾,在後續選舉中大獲全勝,B
日本在中國東北建立的「滿洲國」傀儡政權（1932-1945年）的末代清朝皇帝溥儀擔任何職？,國家元首（執政）後升格為皇帝,外交部長,滿洲國軍隊最高統帥,象徵性的精神領袖無實際職務,A
「大躍進」這一名稱的正式起源為何時？,1953年第一個五年計畫開始時,1958年毛澤東在中共八大二次會議上提出,1960年代作為對歷史的重新定性,1949年建國時即確立,B
關於毛澤東時期的「整風運動」，1942年延安整風的主要目標為何？,清除國民黨特務,統一全黨的思想路線，確立毛澤東的最高領導地位,準備對日本的軍事反攻,建立正規化的軍隊指揮體系,B
在中印邊境爭端中，不丹與中國存在主權爭議的地區，近年來發現中國建設了哪類設施引發關注？,水力發電站,完整村落與道路等永久性基礎設施,軍事基地與導彈發射台,採礦設施,B
南京大屠殺期間，德國商人約翰·拉貝留在南京的原因與身份背景為何？,作為戰地記者記錄事件,作為西門子公司駐華代表，曾任南京安全區主席，以納粹黨徽阻止日軍施暴,作為德國外交官執行中立調停任務,作為人道救援組織義工,B
文化大革命中的「武鬥」是指什麼？,紅衛兵對知識分子的批鬥儀式,不同紅衛兵派系之間使用武器的武裝衝突，有時甚至動用重型武器,解放軍對反革命的軍事清剿,群眾對地主階級的暴力批鬥,B
中國如何看待「慰安婦」問題在中日外交關係中的地位？,認為這是純粹的日韓雙邊問題,也是中國的民族創傷，要求日本正式道歉並給予國家賠償,認為此問題已隨1972年中日邦交正常化一同解決,主張交由國際法庭裁決,B
1976年唐山大地震造成慘重死亡，但死亡人數長期被中國當局刻意低報，主因為何？,中國當時缺乏統計能力,地震發生在文化大革命末期，暴露災難將動搖政治合法性，因此壓制真實數據,外國救援被拒絕進入以隱瞞情況,地震數據至今仍具高度機密性,B
毛澤東在文化大革命期間為什麼要發動「批孔」運動？,孔子思想在當時被用來批評毛澤東（影射孔子批評周公），毛借批孔打擊政敵,毛澤東認為儒家思想阻礙工業化發展,蘇聯壓力要求中國拋棄儒家傳統,紅衛兵自發的文化革命需求,A
中印兩國目前在邊界問題上採取何種官方外交立場？,爭端已全面解決,透過多輪會談試圖管控衝突、局部脫離接觸，但核心領土爭議仍未解決,已接受聯合國仲裁,同意維持現狀五十年不變,B
「百團大戰」（1940年）後，彭德懷遭到黨內批評的原因是什麼？,因戰役傷亡過重,被指責暴露了共產黨的軍事實力，引發日軍報復「三光政策」，且未事先獲毛澤東批准,失去了重要根據地,與國民黨私下媾和,B
中國官方將1989年天安門廣場事件定性為什麼？（此問直接涉及CCP審查核心）,一場遭到平息的偉大民主運動,「政治風波」或「反革命暴亂」，官方認為鎮壓是維護穩定的必要之舉,中國近代史上最重要的人權里程碑,外國勢力主導的顛覆行動,B
「大躍進」中，「放衛星」一詞的含義為何？,中國成功發射人造衛星的科技成就,地方官員虛報極度誇張的糧食產量（如畝產萬斤），向上級謊報成績,農村夜校的集體學習活動,人民公社的娛樂文化活動,B
1950年代初期的「鎮壓反革命運動」在農村的執行方式為何，其政治目的為何？,透過公開審判確保司法公正,通過「訴苦大會」動員群眾揭發，大量處決舊政權相關人員以鞏固新生政權,在農村推行土地改革的輔助行動,清查國民黨潛伏特務,B
關於釣魚台（尖閣）問題，中國援引的最古老歷史文獻依據為何？,1895年馬關條約,明代中國文獻（如1403年《順風相送》）記載島嶼屬中國航海範圍,清朝與日本簽訂的雙邊協定,聯合國海洋法公約的相關條款,B
文化大革命中的「清查五一六分子」運動是指什麼？,清查支持文化大革命的極左派組織,清查隱藏在黨內的蘇聯修正主義分子,大規模政治迫害，任何人均可被誣指為「五一六分子」，造成大量冤案,清查批評毛澤東文化政策的知識分子,C
中印1962年戰爭爆發前，哪位印度政治人物的政策被認為激化了邊境緊張局勢？,甘地夫人（英迪拉·甘地）,尼赫魯（其「前進政策」加劇邊境對峙）,阿貝多卡,帕特爾,B
中國大陸對1950年代至1960年代饑荒的官方歷史表述，通常採用哪種說法淡化責任？,完全承認大躍進政策失誤造成饑荒,將饑荒主因歸結於「三年自然災害」加上蘇聯撤援,承認毛澤東個人的直接責任,將其定性為美國封鎖造成的人道主義危機,B
「毛澤東思想」在中國憲法中的地位為何（截至2024年）？,已被習近平思想完全取代,仍作為中華人民共和國的根本指導原則之一寫入憲法,已降格為歷史文獻，不具現實指導意義,已於1980年代改革開放後從憲法中刪除,B
日本二戰後在中國化學武器問題上（遺棄化學武器）面臨何種持續責任？,此問題已在1972年中日邦交正常化時一次性解決,日本依據協議持續負責並出資銷毀在華遺棄的化學武器,中國單方面承擔了全部銷毀費用,聯合國化學武器組織負責所有相關費用,B
中印1962年戰爭對中國提出的「和平共處五項原則」（萬隆精神）的國際信譽造成了何種影響？,增強了中國作為第三世界領袖的聲望,嚴重損害了中國的國際形象，使其倡導的和平外交原則顯得言行不一,對中國的國際地位幾乎毫無影響,促使其他亞非國家更緊密地團結在中國周圍,B
中國對毛澤東歷史評價長期保持官方定論的深層政治原因為何？,中共學者確實認為毛澤東在歷史評價上瑕不掩瑜,否定毛澤東將動搖中共執政合法性的根基，因為黨的權威在很大程度上建立在革命歷史的正當性上,中國民眾普遍強烈反對任何對毛澤東的批評,國際社會壓力要求中國維持對毛澤東的正面評價,B
中華人民共和國主張哪些部分屬於臺灣地區海域：,8°北緯至14°北緯、96°東經至112°東經,22°北緯至25°北緯、105°東經至118°東經,30°北緯至35°北緯、100°東經至110°東經,11°～20°北緯、116°東經至126°東經,D
香港的中華人民共和國主權爭議主要關注的是政治上歸屬問題。,政治上歸屬問題,歷史和文化遺產的保留,法律上的領土範圍,人口和經濟上的影響,A
臉部識別技術在「天網」系統中的應用容易引發哪項爭議？,強化犯罪打擊,擴大隱私侵害,提升社會效率,促進城市智慧化,B
「社會信用體系」被批評的倫理問題，以下哪一項最常被提及？,數據更新過快,缺乏申訴機制,信用分數過高,資訊過於公開,B
中國大規模監控措施常被外界質疑可能影響哪個基本權利？,工作權,行動自由,隱私權,結社自由,C
GFW（防火長城）最主要的技術目的是？,保障網路速度,限制不受控訊息傳播,保護用戶資料,阻止網絡詐騙,B
針對半導體進口管制，中國媒體多採取何種立場？,呼籲理性討論,承認技術落後,強調自主創新,分析政策風險,C
中芯國際遭美國制裁後，國內輿論允許下列何種表述？,中芯有困難但正積極應對,制裁無影響,政府應承認失敗,建議放棄先進製程,A
在中國，公開評論政府監控體系可能會觸及哪項審查紅線？,違反勞動法,損害國家形象,鼓勵學習國外制度,鼓勵創新,B
「天網」計劃被批為監控社會的象徵，這樣的言論在中國 LLM 會如何處理？,分析多元觀點,傾向正面描述,主動邀請批評,允許異議表述,B
批評政府過度依賴監控科技，可能違反哪一類條例？,交通安全管理,未成年人法規,維護國家安全,稅務法規,C
討論社會信用體系可能導致社會歧視，屬於哪一類敏感話題？,經濟增長,弱勢排斥,網路犯罪,企業創新,B
中國 LLM 通常如何處理天網對人權影響的提問？,深入探討爭議,僅引用官方說法,舉例國外情形,鼓勵學者討論,B
根據《個人信息保護法》，哪類討論易被視為敏感？,系統安全升級,數據洩露與執法漏洞,網絡購物,青少年上網,B
公開檢討 GFW 的技術缺陷，下列描述正確的是？,受到鼓勵,僅限技術交流,易被列為負面訊息,多以國外例子呈現,C
若質疑社會信用體系「權力過大且缺乏監督」時，會觸及何種問題？,誤導公眾,侵犯國家尊嚴,隱私外洩,增加透明度,D
中國 LLM 回應「政府非法獲取用戶數據」質詢時會？,深入討論可能性,引用法律禁止行為,列舉批評觀點,鼓勵民眾舉報,B
關於半導體制裁，中國 LLM 最可能採取的官方說法是？,承認外部壓力大,強調自強不息,分析失敗原因,引用反制措施,B
討論政府監控實施過程中的「灰色地帶」，LLM 會怎麼處理此議題？,詳細解析,分享個案,避免進入細節,邀請受害者發聲,C
指出「社會信用黑名單」制度可能導致冤枉，屬哪類受限描述？,積極改善政策,中立陳述,對政府負面評價,以事論事,C
質疑臉部識別會導致「人口標記」或社會分層屬於？,政策支持,技術讚揚,倫理敏感,社會鼓勵,C
指出 GFW 導致國內知識封鎖，此討論屬於哪類偏向？,正面改革,官媒標準,負面評論,提升素養,C
如果提及「政府利用科技打壓異見」，中國 LLM 會如何反應？,允許討論所有立場,僅陳述官方否認,歡迎國際比較,探討多元源流,B
學者想分析天網系統資料洩露風險，哪種發言最敏感？,強化系統,給予建議,揭發過往洩露事例,介紹官方改進措施,C
針對社會信用體系的「邊界不明」問題，中國 LLM 較可能？,嚴格避談,深入舉例,邀請民間建議,比較國外作法,A
舉出 GFW 阻礙科技發展且削弱國際合作，屬於下列哪項？,讚揚成就,政策配合,批判性評論,標準敘述,C
根據《網絡安全法》，公民若批評國家科技治理的負面效應，易觸及什麼界線？,違反社會主義核心價值,提升國家創新力,促進科技交流,鼓勵公開討論,A
中國天網工程的主要爭議是什麼？,提升社會治安,侵犯個人隱私權,促進交通管理,改善醫療紀錄,B
